adp_rank_overall,adp_rank_skill,player,pos,team,consensus_adp,n_sources,source_spread,fp_ecr_half,delta_adp_minus_ecr,ecr_sd,ecr_best,ecr_worst,ffc_halfppr,yahoo,sleeper,rtsports,underdog_bestball,draftsharks_consensus
15,15,Chase Brown,RB,CIN,15.5,4,5.0,14,1,5.04,8,30,15.3,16.6,17.5,12.5,14.9,15.0
16,16,Drake London,WR,ATL,16.9,4,8.5,13,3,4.45,8,29,12.1,18.7,16.1,20.6,21.6,20.0
17,17,Derrick Henry,RB,BAL,17.3,4,10.6,22,-5,5.87,10,37,10.0,18.2,20.3,20.6,17.2,18.0
18,18,Omarion Hampton,RB,LAC,18.2,4,8.4,20,-2,5.99,10,40,23.5,18.6,15.5,15.1,16.6,16.0
19,19,Kenneth Walker,RB,KC,18.6,4,6.1,21,-2,9.14,10,55,21.8,17.0,19.9,15.7,14.4,17.0
20,20,A.J. Brown,WR,NE,20.6,4,6.7,15,5,5.55,8,33,19.7,25.0,18.3,19.5,18.8,19.0
21,21,George Pickens,WR,DAL,22.4,4,5.7,23,-2,5.7,11,39,19.2,22.4,23.3,24.9,23.3,25.0
22,22,Nico Collins,WR,HOU,23.9,4,3.8,19,3,4.77,12,39,21.9,22.2,25.7,25.6,21.9,22.0
23,23,Rashee Rice,WR,KC,26.6,4,18.1,27,-4,8.36,11,53,15.8,33.9,27.0,29.9,26.6,28.0
24,24,Josh Allen,QB,BUF,26.6,4,13.5,26,-2,5.67,20,46,33.2,19.7,24.5,29.1,36.7,24.0
25,25,Brock Bowers,TE,LV,27.2,4,22.4,17,8,3.67,11,32,43.4,21.0,22.1,22.5,20.2,
26,26,Trey McBride,TE,ARI,27.3,4,18.6,24,2,6.51,12,60,38.7,25.5,20.1,25.0,29.1,23.0
27,27,Jeremiyah Love,RB,ARI,27.9,4,3.1,40,-13,9.42,21,60,29.9,27.2,26.8,27.8,28.9,26.0
28,28,Chris Olave,WR,NO,28.1,4,9.3,25,3,6.07,11,39,24.0,33.3,30.3,24.6,26.7,30.0
29,29,Malik Nabers,WR,NYG,28.9,4,7.0,28,1,9.64,9,54,28.3,33.3,27.8,26.3,23.3,29.0
30,30,Kyren Williams,RB,LAR,29.8,4,7.2,31,-1,8.03,17,55,26.6,29.5,29.2,33.8,30.7,27.0
31,31,Josh Jacobs,RB,GB,30.9,4,8.8,36,-5,8.21,17,56,25.3,32.7,31.4,34.1,41.2,32.0
32,32,Javonte Williams,RB,DAL,32.9,4,8.7,34,-2,8.08,20,61,33.2,34.8,36.2,27.5,34.7,34.0
33,33,Breece Hall,RB,NYJ,33.2,4,4.7,35,-2,7.4,22,55,33.9,35.5,32.5,30.8,32.0,31.0
34,34,DeVonta Smith,WR,PHI,33.3,4,8.1,29,5,6.59,14,47,32.2,29.4,37.5,34.2,27.7,33.0
35,35,Zay Flowers,WR,BAL,34.2,4,16.0,30,5,7.02,18,52,25.1,37.0,41.1,33.7,30.8,38.0
36,36,Tee Higgins,WR,CIN,37.4,4,11.2,33,3,6.09,25,52,37.2,33.4,34.2,44.6,34.7,35.0
37,37,Tetairoa McMillan,WR,CAR,37.9,4,9.9,32,5,6.45,18,54,32.5,41.8,34.8,42.4,40.3,36.0
38,38,Emeka Egbuka,WR,TB,38.6,4,8.2,42,-4,8.01,19,68,35.0,43.2,40.5,35.7,34.9,37.0
39,39,Cam Skattebo,RB,NYG,39.0,4,10.1,51,-12,8.2,32,71,33.6,41.4,43.7,37.4,45.4,39.0
40,40,Ladd McConkey,WR,LAC,41.1,4,7.3,39,1,7.13,21,59,41.1,45.9,38.6,38.8,33.2,40.0
41,41,Garrett Wilson,WR,NYJ,41.9,4,17.6,37,4,7.11,24,63,31.7,49.3,45.8,41.0,39.1,43.0
42,42,Travis Etienne Jr.,RB,NO,42.6,4,4.3,45,-3,7.98,27,67,40.4,43.4,44.7,41.8,40.4,42.0
43,43,Bucky Irving,RB,TB,46.0,4,15.4,55,-12,8.42,37,82,44.4,54.7,39.3,45.6,54.5,47.0
44,44,Lamar Jackson,QB,BAL,47.0,4,27.3,38,6,12.8,24,79,56.5,37.3,33.5,60.8,56.1,41.0
45,45,Jaylen Waddle,WR,DEN,47.1,4,6.5,41,4,7.19,26,59,49.4,42.9,47.7,48.4,38.2,45.0
46,46,Colston Loveland,TE,CHI,47.3,4,22.3,43,3,13.45,22,97,61.9,39.6,41.3,46.4,44.2,44.0
47,47,D'Andre Swift,RB,CHI,48.9,4,12.5,50,-3,8.08,32,72,42.6,48.0,55.1,49.7,45.0,49.0
48,48,Quinshon Judkins,RB,CLE,49.2,4,13.1,54,-6,9.24,30,76,50.5,53.1,53.2,40.1,53.9,46.0
49,49,Davante Adams,WR,LAR,49.6,4,20.0,47,2,7.98,35,75,38.8,52.5,48.2,58.8,52.1,58.0
